Rank,Title
1,Parasite
2,Come and See
3,Everything Everywhere All at Once
4,Harakiri
5,The Godfather
6,The Godfather: Part II
7,A Dog's Will
8,The Human Condition III: A Soldier's Prayer
9,12 Angry Men
10,Seven Samurai
11,Spirited Away
12,High and Low
13,The Shawshank Redemption
14,A Brighter Summer Day
15,Spider-Man: Into the Spider-Verse
16,Yi Yi
17,The Dark Knight
18,The Human Condition I: No Greater Love
19,Portrait of a Lady on Fire
20,GoodFellas
21,Schindler's List
22,Central Station
23,Neon Genesis Evangelion: The End of Evangelion
24,Ikiru
25,City of God
26,The Lord of the Rings: The Return of the King
27,"The Good, the Bad and the Ugly"
28,The Empire Strikes Back
29,There Will Be Blood
30,Stalker
31,La Haine
32,Ran
33,Persona
34,Grave of the Fireflies
35,The Handmaiden
36,The Passion of Joan of Arc
37,In the Mood for Love
38,Sunset Boulevard
39,Whiplash
40,Perfect Blue
41,Woman in the Dunes
42,Apocalypse Now
43,Andrei Rublev
44,Satantango
45,Tokyo Story
46,Cinema Paradiso
47,The Human Condition II: Road to Eternity
48,Paths of Glory
49,Do the Right Thing
50,"Paris, Texas"
51,Autumn Sonata
52,Princess Mononoke
53,The World of Apu
54,Mishima: A Life in Four Chapters
55,Rear Window
56,Fanny and Alexander
57,The Lord of the Rings: The Fellowship of the Ring
58,Before Sunrise
59,Eternity and a Day
60,The Apartment
61,Le Trou
62,The Lord of the Rings: The Two Towers
63,The Cranes Are Flying
64,The Silence of the Lambs
65,The Thing
66,Oldboy
67,Scenes from a Marriage
68,A Woman Under the Influence
69,It's Such a Beautiful Day
70,Pulp Fiction
71,2001: A Space Odyssey
72,Psycho
73,Sansho the Bailiff
74,Once Upon a Time in the West
75,The Red Shoes
76,Memories of Murder
77,Before Sunset
78,It's a Wonderful Life
79,The Ascent
80,I Am Cuba
81,Macario
82,Mirror
83,Love Exposure
84,Barry Lyndon
85,Ordet
86,Howl's Moving Castle
87,One Flew Over the Cuckoo's Nest
88,Pather Panchali
89,Inglourious Basterds
90,Alien
91,Nights of Cabiria
92,The Shining
93,Incendies
94,The Seventh Seal
95,Se7en
96,The Battle of Algiers
97,Werckmeister Harmonies
98,No Country for Old Men
99,City Lights
100,Fight Club
101,8½
102,Chungking Express
103,"Sherlock, Jr."
104,Late Spring
105,Singin' in the Rain
106,The 400 Blows
107,All About Eve
108,M
109,The Pianist
110,Bicycle Thieves
111,Landscape in the Mist
112,The Best of Youth
113,A Man Escaped
114,The Second Mother
115,A Special Day
116,A Separation
117,An Elephant Sitting Still
118,Wild Strawberries
119,Mommy
120,Lawrence of Arabia
121,Army of Shadows
122,Tampopo
123,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
124,Red Beard
125,Where Is My Friend's House?
126,Three Colors: Red
127,Casablanca
128,The Father
129,The Young Girls of Rochefort
130,Funeral Parade of Roses
131,Evangelion: 3.0+1.0 Thrice Upon a Time
132,Yojimbo
133,The Sacrifice
134,Modern Times
135,Children of Paradise
136,Taxi Driver
137,Wings of Desire
138,The Wages of Fear
139,Napoleon
140,La Dolce Vita
141,Paper Moon
142,Life Is Beautiful
143,The Night of the Hunter
144,Rocco and His Brothers
145,Still Walking
146,The Great Dictator
147,Dog Day Afternoon
148,Brief Encounter
149,Amadeus
150,Eternal Sunshine of the Spotless Mind
151,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles"
152,To Be or Not to Be
153,Children of Men
154,Star Wars
155,The Grand Budapest Hotel
156,The Young and the Damned
157,Fargo
158,Chinatown
159,Terminator 2: Judgment Day
160,Akira
161,We All Loved Each Other So Much
162,Moonlight
163,La Notte
164,Z
165,Nobody Knows
166,All That Jazz
167,The Third Man
168,The Lion King
169,Prisoners
170,The Life and Death of Colonel Blimp
171,Mulholland Drive
172,Raise the Red Lantern
173,Witness for the Prosecution
174,Vertigo
175,Nostalgia
176,Fantastic Mr. Fox
177,Back to the Future
178,Interstellar
179,The Departed
180,Once Upon a Time in America
181,Aparajito
182,Farewell My Concubine
183,Taste of Cherry
184,Good Will Hunting
185,The Hunt
186,My Neighbor Totoro
187,Metropolis
188,Your Name.
189,Shoplifters
190,The Big City
191,Raging Bull
192,Once Upon a Time in Anatolia
193,Opening Night
194,Citizen Kane
195,Ritual
196,Make Way for Tomorrow
197,Il Sorpasso
198,A Matter of Life and Death
199,Underground
200,The Treasure of the Sierra Madre
201,Throne of Blood
202,Sweet Smell of Success
203,Dead Poets Society
204,Ugetsu
205,The Cremator
206,Paddington 2
207,Coco
208,Solaris
209,Happy Hour
210,Inception
211,Umberto D.
212,Fallen Angels
213,An Autumn Afternoon
214,"Life, and Nothing More..."
215,Double Indemnity
216,A Face in the Crowd
217,Sunrise: A Song of Two Humans
218,Get Out
219,Raiders of the Lost Ark
220,The Iron Giant
221,Happy Together
222,Boogie Nights
223,Network
224,Tokyo Twilight
225,Rashomon
226,Early Summer
227,Samurai Rebellion
228,Monica and Friends: Lessons
229,The Matrix
230,Rififi
231,Saving Private Ryan
232,Django Unchained
233,Winter Sleep
234,Son of the White Mare
235,Little Women
236,The Worst Person in the World
237,Marketa Lazarová
238,Time of the Gypsies
239,The Devils
240,Heat
241,The Tale of the Princess Kaguya
242,Manila in the Claws of Light
243,A Moment of Innocence
244,Dersu Uzala
245,Toy Story
246,Winter Light
247,Rosemary's Baby
248,Le Samouraï
249,Who's Afraid of Virginia Woolf?
250,La Belle Noiseuse
