,Rank,Song,Artist
0,1,E.T.,Katy Perry Featuring Kanye West
1,2,Rolling In The Deep,Adele
2,3,Just Can't Get Enough,The Black Eyed Peas
3,4,S&M,Rihanna Featuring Britney Spears
4,5,Down On Me,Jeremih Featuring 50 Cent
5,6,The Lazy Song,Bruno Mars
6,7,On The Floor,Jennifer Lopez Featuring Pitbull
7,8,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
8,9,Blow,Ke$ha
9,10,F**k You! (Forget You),CeeLo Green
10,11,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha
11,12,Judas,Lady Gaga
12,13,Written In The Stars,Tinie Tempah Featuring Eric Turner
13,14,The Show Goes On,Lupe Fiasco
14,15,Born This Way,Lady Gaga
15,16,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
16,17,Roll Up,Wiz Khalifa
17,18,F**kin' Perfect,P!nk
18,19,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
19,20,All Of The Lights,Kanye West
20,21,Moment 4 Life,Nicki Minaj Featuring Drake
21,22,Country Girl (Shake It For Me),Luke Bryan
22,23,Price Tag,Jessie J Featuring B.o.B
23,24,Firework,Katy Perry
24,25,Who Says,Selena Gomez & The Scene
25,26,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
26,27,Grenade,Bruno Mars
27,28,Backseat,New Boyz Featuring The Cataracs & Dev
28,29,What The Hell,Avril Lavigne
29,30,For The First Time,The Script
30,31,Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne
31,32,More,Usher
32,33,Run The World (Girls),Beyonce
33,34,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
34,35,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
35,36,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
36,37,A Little Bit Stronger,Sara Evans
37,38,Jar Of Hearts,Christina Perri
38,39,Just The Way You Are,Bruno Mars
39,40,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
40,41,Colder Weather,Zac Brown Band
41,42,Pretty Girl Rock,Keri Hilson
42,43,Honey Bee,Blake Shelton
43,44,Old Alabama,Brad Paisley Featuring Alabama
44,45,Raise Your Glass,P!nk
45,46,I Won't Let Go,Rascal Flatts
46,47,Are You Gonna Kiss Me Or Not,Thompson Square
47,48,Dynamite,Taio Cruz
48,49,Heart Like Mine,Miranda Lambert
49,50,Mean,Taylor Swift
50,51,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
51,52,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
52,53,Did It On'em,Nicki Minaj
53,54,Motivation,Kelly Rowland Featuring Lil Wayne
54,55,You Lie,The Band Perry
55,56,What Do You Want,Jerrod Niemann
56,57,Sure Thing,Miguel
57,58,Racks,YC Featuring Future
58,59,Without You,Keith Urban
59,60,This,Darius Rucker
60,61,Best Love Song,T-Pain Featuring Chris Brown
61,62,Tomorrow,Chris Young
62,63,Turning Tables,Adele
63,64,Live A Little,Kenny Chesney
64,65,Dirt Road Anthem,Jason Aldean
65,66,Turning Tables,Glee Cast Featuring Gwyneth Paltrow
66,67,Bleed Red,Ronnie Dunn
67,68,My Last,Big Sean Featuring Chris Brown
68,69,The Cave,Mumford & Sons
69,70,Sing,My Chemical Romance
70,71,John,Lil Wayne Featuring Rick Ross
71,72,Boyfriend,Big Time Rush
72,73,If Heaven Wasn't So Far Away,Justin Moore
73,74,No Sleep,Wiz Khalifa
74,75,Tonight Tonight,Hot Chelle Rae
75,76,Hold It Against Me,Britney Spears
76,77,Country Song,Seether
77,78,Bring It Back,Travis Porter
78,79,Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice
79,80,I Can't Love You Back,Easton Corbin
80,81,Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti
81,82,Love Faces,Trey Songz
82,83,She Ain't You,Chris Brown
83,84,You Be Killin Em,Fabolous
84,85,Homeboy,Eric Church
85,86,Hello,Martin Solveig & Dragonette
86,87,All By Myself,Glee Cast
87,88,Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
88,89,Somebody,Bridgit Mendler
89,90,Hustle Hard,Ace Hood
90,91,Rope,Foo Fighters
91,92,Good Life,OneRepublic
92,93,Far Away,Marsha Ambrosius
93,94,Never Say Never,Justin Bieber Featuring Jaden Smith
94,95,Family Man,Craig Campbell
95,96,Angel,Akon
96,97,I Do,Colbie Caillat
97,98,Crazy Girl,Eli Young Band
98,99,Papi,Jennifer Lopez
99,100,Friday,Rebecca Black
