Rank,Song,Artist
1,E.T.,Katy Perry Featuring Kanye West
2,Rolling In The Deep,Adele
3,Just Can't Get Enough,The Black Eyed Peas
4,S&M,Rihanna Featuring Britney Spears
5,Down On Me,Jeremih Featuring 50 Cent
6,The Lazy Song,Bruno Mars
7,On The Floor,Jennifer Lopez Featuring Pitbull
8,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
9,Blow,Ke$ha
10,F**k You! (Forget You),CeeLo Green
11,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha
12,Judas,Lady Gaga
13,Written In The Stars,Tinie Tempah Featuring Eric Turner
14,The Show Goes On,Lupe Fiasco
15,Born This Way,Lady Gaga
16,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
17,Roll Up,Wiz Khalifa
18,F**kin' Perfect,P!nk
19,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
20,All Of The Lights,Kanye West
21,Moment 4 Life,Nicki Minaj Featuring Drake
22,Country Girl (Shake It For Me),Luke Bryan
23,Price Tag,Jessie J Featuring B.o.B
24,Firework,Katy Perry
25,Who Says,Selena Gomez & The Scene
26,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
27,Grenade,Bruno Mars
28,Backseat,New Boyz Featuring The Cataracs & Dev
29,What The Hell,Avril Lavigne
30,For The First Time,The Script
31,Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne
32,More,Usher
33,Run The World (Girls),Beyonce
34,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
35,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
36,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
37,A Little Bit Stronger,Sara Evans
38,Jar Of Hearts,Christina Perri
39,Just The Way You Are,Bruno Mars
40,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
41,Colder Weather,Zac Brown Band
42,Pretty Girl Rock,Keri Hilson
43,Honey Bee,Blake Shelton
44,Old Alabama,Brad Paisley Featuring Alabama
45,Raise Your Glass,P!nk
46,I Won't Let Go,Rascal Flatts
47,Are You Gonna Kiss Me Or Not,Thompson Square
48,Dynamite,Taio Cruz
49,Heart Like Mine,Miranda Lambert
50,Mean,Taylor Swift
51,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
52,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
53,Did It On'em,Nicki Minaj
54,Motivation,Kelly Rowland Featuring Lil Wayne
55,You Lie,The Band Perry
56,What Do You Want,Jerrod Niemann
57,Sure Thing,Miguel
58,Racks,YC Featuring Future
59,Without You,Keith Urban
60,This,Darius Rucker
61,Best Love Song,T-Pain Featuring Chris Brown
62,Tomorrow,Chris Young
63,Turning Tables,Adele
64,Live A Little,Kenny Chesney
65,Dirt Road Anthem,Jason Aldean
66,Turning Tables,Glee Cast Featuring Gwyneth Paltrow
67,Bleed Red,Ronnie Dunn
68,My Last,Big Sean Featuring Chris Brown
69,The Cave,Mumford & Sons
70,Sing,My Chemical Romance
71,John,Lil Wayne Featuring Rick Ross
72,Boyfriend,Big Time Rush
73,If Heaven Wasn't So Far Away,Justin Moore
74,No Sleep,Wiz Khalifa
75,Tonight Tonight,Hot Chelle Rae
76,Hold It Against Me,Britney Spears
77,Country Song,Seether
78,Bring It Back,Travis Porter
79,Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice
80,I Can't Love You Back,Easton Corbin
81,Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti
82,Love Faces,Trey Songz
83,She Ain't You,Chris Brown
84,You Be Killin Em,Fabolous
85,Homeboy,Eric Church
86,Hello,Martin Solveig & Dragonette
87,All By Myself,Glee Cast
88,Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
89,Somebody,Bridgit Mendler
90,Hustle Hard,Ace Hood
91,Rope,Foo Fighters
92,Good Life,OneRepublic
93,Far Away,Marsha Ambrosius
94,Never Say Never,Justin Bieber Featuring Jaden Smith
95,Family Man,Craig Campbell
96,Angel,Akon
97,I Do,Colbie Caillat
98,Crazy Girl,Eli Young Band
99,Papi,Jennifer Lopez
100,Friday,Rebecca Black
