Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
ee,https://meh.com,d,d,☕️,💪,🔌
wFEWF,https://meh.com,ddd,ggg,☕️,💪,🔌
https://meh.com,https://meh.com,https://meh.com,https://meh.com,☕️,💪,🔌
https://meh.com,https://meh.com,https://meh.com,https://meh.com,☕️,💪,🔌
https://meh.com,https://meh.com,f,f,☕️,💪,🔌
Aaron's coffee shoppe,https://meh.com,gljhg,khjgfkuyg,☕️,💪,🔌
